time,user id,movie id
2023-04-09T21:50,390897,GET /rate/star+wars+1977=4
2023-04-09T21:50:01,395634,GET /rate/final+cut+1998=3
2023-04-09T21:50:01,608957,GET /rate/kill+the+messenger+2014=4
2023-04-09T21:50:01,76913,GET /rate/up+2009=4
2023-04-09T21:50:01,136049,GET /rate/harry+potter+and+the+half-blood+prince+2009=5
2023-04-09T21:50:01,650477,GET /rate/toy+story+1995=3
2023-04-09T21:50:01,258724,GET /rate/monster+in+a+box+1992=4
2023-04-09T21:50:02,829773,GET /rate/shrek+forever+after+2010=3
2023-04-09T21:50:02,886013,GET /rate/inception+2010=3
2023-04-09T21:50:02,165220,GET /rate/marley+2012=4
2023-04-09T21:50:02,230138,GET /rate/shrek+forever+after+2010=4
2023-04-09T21:50:02,722359,GET /rate/matango+attack+of+the+mushroom+people+1963=4
2023-04-09T21:50:03,491748,GET /rate/star+trek+of+gods+and+men+2007=4
2023-04-09T21:50:03,282107,GET /rate/his+girl+friday+1940=3
2023-04-09T21:50:03,927329,GET /rate/harry+potter+and+the+philosophers+stone+2001=4
2023-04-09T21:50:03,89753,GET /rate/act+of+violence+1949=4
2023-04-09T21:50:03,214240,GET /rate/wonderland+1999=4
2023-04-09T21:50:03,123052,GET /rate/shutter+island+2010=4
2023-04-09T21:50:03,113248,GET /rate/a+grain+of+truth+2015=4
2023-04-09T21:50:03,430060,GET /rate/capricorn+one+1977=3
2023-04-09T21:50:04,858901,GET /rate/sal_+or+the+120+days+of+sodom+1975=4
2023-04-09T21:50:04,912034,GET /rate/the+lord+of+the+rings+the+return+of+the+king+2003=5
2023-04-09T21:50:04,51004,GET /rate/the+dark+knight+2008=5
2023-04-09T21:50:04,296883,GET /rate/chernobyl+diaries+2012=3
2023-04-09T21:50:05,139038,GET /rate/the+legend+of+sarila+2013=2
2023-04-09T21:50:05,923472,GET /rate/the+shining+1980=4
2023-04-09T21:50:05,775624,GET /rate/a+room+with+a+view+1985=4
2023-04-09T21:50:05,857630,GET /rate/star+wars+1977=4
2023-04-09T21:50:05,466530,GET /rate/the+black+cauldron+1985=3
2023-04-09T21:50:06,807461,GET /rate/shark+tale+2004=3
2023-04-09T21:50:06,424331,GET /rate/dottie+gets+spanked+1993=3
2023-04-09T21:50:06,457046,GET /rate/true+lies+1994=4
2023-04-09T21:50:07,185929,GET /rate/the+dark+house+2009=3
2023-04-09T21:50:08,882900,GET /rate/premature+2014=3
2023-04-09T21:50:08,577169,GET /rate/under+the+bridges+1946=3
2023-04-09T21:50:08,925440,GET /rate/the+curse+of+the+were-rabbit+2005=4
2023-04-09T21:50:08,360247,GET /rate/pinocchio+1940=4
2023-04-09T21:50:09,863470,GET /rate/mamitas+2012=4
2023-04-09T21:50:09,400543,GET /rate/independence+day+1996=3
2023-04-09T21:50:09,445076,GET /rate/the+lord+of+the+rings+the+fellowship+of+the+ring+2001=4
2023-04-09T21:50:09,447440,GET /rate/1900+1976=4
2023-04-09T21:50:09,136491,GET /rate/godzilla_+mothra+and+king+ghidorah+giant+monsters+all-out+attack+2001=3
2023-04-09T21:50:09,314851,GET /rate/the+long+weekend+2005=4
2023-04-09T21:50:09,843138,GET /rate/harry+potter+and+the+prisoner+of+azkaban+2004=5
2023-04-09T21:50:09,519913,GET /rate/stranger+than+paradise+1984=4
2023-04-09T21:50:09,327381,GET /rate/alien+1979=4
2023-04-09T21:50:09,193453,GET /rate/auggie+rose+2000=3
2023-04-09T21:50:10,17120,GET /rate/no+one+dies+in+lily+dale+2011=4
2023-04-09T21:50:10,134504,GET /rate/big+star+nothing+can+hurt+me+2013=4
2023-04-09T21:50:10,774606,GET /rate/big+man+japan+2007=3
2023-04-09T21:50:11,286432,GET /rate/speak+2004=4
2023-04-09T21:50:11,580118,GET /rate/no+country+for+old+men+2007=4
2023-04-09T21:50:12,133188,GET /rate/susan+lenox+her+fall+and+rise+1931=4
2023-04-09T21:50:12,59143,GET /rate/monty+python+and+the+holy+grail+1975=5
2023-04-09T21:50:12,440365,GET /rate/the+haunted+castle+1921=4
2023-04-09T21:50:12,923704,GET /rate/constantine+2005=3
2023-04-09T21:50:12,99884,GET /rate/cooperstown+1993=3
2023-04-09T21:50:12,523397,GET /rate/tell+no+one+2006=4
2023-04-09T21:50:12,355218,GET /rate/american+splendor+2003=4
